area,team_name,cost,migration,time_score,created_time
京津东北赛区,hehe,1093169247,126694,117.474,2021/03/24
京津东北赛区,FDTB_,1097194756,69310,135.244,2021/03/23
京津东北赛区,队名叫什么？,1099424803,126405,127.184,2021/03/24
京津东北赛区,春日部防卫队,1099906140,126601,146.025,2021/03/24
京津东北赛区,甜甜咸咸代码历险记,1101800104,84472,152.403,2021/03/24
京津东北赛区,内个小队,1103107971,48848,87.599,2021/03/22
京津东北赛区,迪丽热巴哥,1111052455,126694,111.298,2021/03/24
京津东北赛区,力争第33名,1112902397,67166,132.802,2021/03/23
京津东北赛区,未命名3,1114402201,57947,87.214,2021/03/23
京津东北赛区,zyb是我儿子,1114667178,126694,40.546,2021/03/22
京津东北赛区,sunshine,1116089152,72680,35.581,2021/03/22
京津东北赛区,琥琥笙威,1117922294,96763,118.255,2021/03/20
京津东北赛区,Echo,1127610472,124788,110.365,2021/03/23
京津东北赛区,果壳干饭王,1128436559,19896,57.335,2021/03/22
京津东北赛区,海盗团,1129466951,21393,91.901,2021/03/24
京津东北赛区,一叶知秋,1129948972,126480,12.178,2021/03/24
京津东北赛区,火石桥一队,1133815606,0,144.124,2021/03/23
京津东北赛区,海事霍建华,1139887982,8398,108.037,2021/03/24
京津东北赛区,无糖可口可乐零度汽水,1141031607,0,10.256,2021/03/24
京津东北赛区,超级码力,1149140010,0,1.46,2021/03/24
京津东北赛区,金高朋,1150102495,0,85.142,2021/03/24
京津东北赛区,自己一,1151021764,0,0.481,2021/03/24
京津东北赛区,我是臭弟弟,1151033630,2444,93.198,2021/03/18
京津东北赛区,在你头顶的地中海长情告白,1156174147,126354,26.12,2021/03/19
京津东北赛区,HITZSN,1156813700,0,5.653,2021/03/24
京津东北赛区,tcnnl,1158969414,0,53.856,2021/03/23
京津东北赛区,第一次写代码,1164777415,0,55.409,2021/03/22
京津东北赛区,RL大法好,1169724866,70040,22.068,2021/03/18
京津东北赛区,hw35332490,1171744594,112223,97.602,2021/03/16
京津东北赛区,TJU-SmartIot,1183671135,6722,143.763,2021/03/22
京津东北赛区,HCore,1185912114,0,100.911,2021/03/24
京津东北赛区,Ice-Team,1188736700,0,32.28,2021/03/21
京津东北赛区,OJAC,1188892158,122796,2.448,2021/03/23
京津东北赛区,ZMetalHeartY,1189853443,0,19.376,2021/03/21
京津东北赛区,马家沟轮船修造高级专科学院,1190391129,0,22.107,2021/03/24
京津东北赛区,Time Machine,1191746159,0,94.282,2021/03/23
京津东北赛区,暴力美学,1193339575,0,37.448,2021/03/24
京津东北赛区,BUGMAN,1195590722,55942,105.855,2021/03/18
京津东北赛区,7166,1197290888,0,11.407,2021/03/23
京津东北赛区,北电青年,1198250662,0,25.135,2021/03/23
京津东北赛区,希望这次有空做,1201176079,0,104.098,2021/03/23
京津东北赛区,秃鸡队,1206820982,0,43.591,2021/03/24
京津东北赛区,三人成虎,1207442845,0,2.199,2021/03/23
京津东北赛区,Maybe,1209254337,0,2.239,2021/03/24
京津东北赛区,你说的队,1210407331,0,139.453,2021/03/22
京津东北赛区,划水达人,1214777576,0,136.525,2021/03/23
京津东北赛区,为你按下F键,1217926777,0,0.938,2021/03/12
京津东北赛区,HUSKIES,1224996816,4596,11.742,2021/03/22
京津东北赛区,我的2021,1226991608,0,3.152,2021/03/24
京津东北赛区,D0,1229656147,0,15.519,2021/03/24
京津东北赛区,小组404,1231976482,0,62.08,2021/03/23
京津东北赛区,200斤的英国大力士,1232997884,0,82.73,2021/03/23
京津东北赛区,小聂聂最可爱,1234205967,0,38.529,2021/03/11
京津东北赛区,astro,1234822637,0,113.824,2021/03/23
京津东北赛区,神笔,1244616944,0,13.531,2021/03/24
京津东北赛区,猪头三学弟能梦到兔女郎学姐吗,1246284025,0,75.805,2021/03/23
京津东北赛区,前排的大佬让让我,1257079820,0,42.663,2021/03/18
京津东北赛区,rush32，GOGOGO,1263113047,0,1.362,2021/03/19
京津东北赛区,要不是真的菜,1269026693,0,5.438,2021/03/22
京津东北赛区,我的心是冰冰的,1271025743,0,8.621,2021/03/21
京津东北赛区,蹦~蹦~炸弹,1275638899,0,15.454,2021/03/20
京津东北赛区,LWZ,1282750766,0,44.308,2021/03/21
京津东北赛区,XianFish,1294308035,0,47.248,2021/03/24
京津东北赛区,Majornan,1309780276,0,0.707,2021/03/24
京津东北赛区,永远对,1311354414,0,6.1,2021/03/24
京津东北赛区,D401,1320732848,0,0.402,2021/03/17
京津东北赛区,学算法上acwing,1375007130,0,0.503,2021/03/21
京津东北赛区,浅度学习,1392592642,0,7.784,2021/03/24
京津东北赛区,农夫三全,1392592642,0,8.237,2021/03/24
京津东北赛区,20万洒洒水,1392592642,0,8.245,2021/03/22
京津东北赛区,不可击败的AlphaGO,1392592642,0,8.628,2021/03/23
京津东北赛区,江江最可爱,1612120954,0,24.975,2021/03/24
京津东北赛区,爱吃火龙果,1619261099,0,10.102,2021/03/22
京津东北赛区,一群张杰,1675453461,0,17.666,2021/03/19
京津东北赛区,泰克脑了机,1703249070,0,62.137,2021/03/16
京津东北赛区,PKUCODER,1705980243,0,3.852,2021/03/24
京津东北赛区,hw92374608,1731360278,0,14.839,2021/03/17
京津东北赛区,风犬队,1797454648,0,0.624,2021/03/20
京津东北赛区,雷霆嘎巴,1833684783,0,0.534,2021/03/12
京津东北赛区,烫烫烫烫烫,1833684783,0,0.548,2021/03/17
京津东北赛区,万里有云,1833684783,0,0.548,2021/03/23
京津东北赛区,汪疯战队,2146599802,0,103.196,2021/03/24
京津东北赛区,C205,2370738798,0,62.103,2021/03/19
京津东北赛区,818小分队,2370738798,0,64.259,2021/03/24
京津东北赛区,QSZcode,2485755215,0,100.594,2021/03/23
京津东北赛区,等个好名字,2600291694,0,19.204,2021/03/23
京津东北赛区,BiasForYou,4018597609,0,10.017,2021/03/24
京津东北赛区,乱披风锤法,4992674014,0,12.466,2021/03/24
京津东北赛区,小浣熊,6028698122,0,16.621,2021/03/19
京津东北赛区,NoNameNeeded,6266809621,0,9.137,2021/03/11
京津东北赛区,再战9号线,6266809621,0,9.138,2021/03/12
京津东北赛区,全东北就这一个,6266809621,0,9.139,2021/03/15
京津东北赛区,MACL-CODER,6266809621,0,9.165,2021/03/17
京津东北赛区,Noodles,6847777776,0,0.549,2021/03/24
京津东北赛区,木子酒,7316501213,0,1.255,2021/03/16
京津东北赛区,hw3341763,8678181417,0,8.672,2021/03/15
京津东北赛区,何事惊慌,21502744815,0,0.604,2021/03/24
上合赛区,卷不动已躺平,1087303603,126694,112.695,2021/03/24
上合赛区,巴啦啦小魔仙嘉定分仙,1090389940,122296,62.193,2021/03/24
上合赛区,理实交融,1097297383,81517,144.845,2021/03/24
上合赛区,无他，唯手熟尔,1099208082,81695,140.366,2021/03/24
上合赛区,同济一只牛,1100993529,120752,141.718,2021/03/24
上合赛区,创造101,1102208617,28763,38.088,2021/03/24
上合赛区,玩具车,1102813130,126694,112.921,2021/03/21
上合赛区,小鱼干,1103415491,120817,135.343,2021/03/23
上合赛区,returesult,1104241278,114229,92.52,2021/03/24
上合赛区,卧龙凤雏王多鱼,1107366850,49621,157.778,2021/03/23
上合赛区,猪头粽,1108305090,20949,130.949,2021/03/24
上合赛区,世界一流退学,1110501819,88390,138.93,2021/03/23
上合赛区,这也不好做那也不好做,1112815983,36176,104.887,2021/03/24
上合赛区,轮滑,1114536534,114575,127.068,2021/03/23
上合赛区,躲进蜗壳成一统,1118026063,39110,7.097,2021/03/23
上合赛区,re:从零开始的软挑,1118539484,126424,114.484,2021/03/23
上合赛区,希望之花,1120769595,100019,165.944,2021/03/23
上合赛区,摸鱼划水真君,1124958841,122327,57.994,2021/03/21
上合赛区,"你好,王海川.",1127956323,0,87.645,2021/03/22
上合赛区,俞大佬干饭团,1128318126,65066,37.736,2021/03/23
上合赛区,闵大荒天才少年,1130624675,0,107.72,2021/03/17
上合赛区,我好菜鸭,1130631973,78260,156.03,2021/03/22
上合赛区,南七南桐,1131872045,37558,62.895,2021/03/24
上合赛区,USTC1010,1134917447,31277,85.805,2021/03/22
上合赛区,他说他是乱打的,1139328565,55204,149.972,2021/03/22
上合赛区,Lvrq,1140145358,116944,160.78,2021/03/23
上合赛区,伟伟道来,1142683350,117928,14.019,2021/03/22
上合赛区,我代码是乱写的,1146138536,29072,31.681,2021/03/16
上合赛区,随便,1149475234,25406,19.622,2021/03/23
上合赛区,起名苦手,1150529754,21436,76.6,2021/03/24
上合赛区,平平无奇的观光团,1156798746,2356,28.033,2021/03/19
上合赛区,hw17467657,1156938163,58688,37.615,2021/03/21
上合赛区,喜提offer,1158783452,19331,65.449,2021/03/24
上合赛区,bugfree,1161362439,28212,112.23,2021/03/22
上合赛区,写代码会获得头发,1163627123,126365,26.136,2021/03/24
上合赛区,放学你别走，蹲你家门口,1167012699,0,26.378,2021/03/20
上合赛区,体验一下队,1168941412,15115,54.276,2021/03/24
上合赛区,五连绝世,1169911980,124080,161.48,2021/03/24
上合赛区,国 服 夏 侯 惇,1170906709,0,121.246,2021/03/24
上合赛区,因特纳雄耐尔,1174104430,41147,17.621,2021/03/24
上合赛区,远东魔术昼寝结社之夏,1177753413,0,14.941,2021/03/23
上合赛区,冰可乐不加冰,1177844122,29907,0.742,2021/03/24
上合赛区,心大,1178187473,126682,142.689,2021/03/24
上合赛区,天外飞猪,1181952395,0,73.296,2021/03/24
上合赛区,憨憨宝宝,1184009088,0,75.374,2021/03/24
上合赛区,摸鱼第一,1185870597,3691,64.708,2021/03/24
上合赛区,11号公寓的男孩们,1185994925,29153,0.883,2021/03/22
上合赛区,欧拉欧拉欧拉欧拉欧拉,1188770714,0,29.408,2021/03/23
上合赛区,上海大学养猪厂,1192749986,8074,98.44,2021/03/23
上合赛区,卧龙寺,1193403827,44254,84.022,2021/03/24
上合赛区,发际线与我作队,1193586478,34957,8.401,2021/03/24
上合赛区,巧克力,1197980522,5627,84.071,2021/03/17
上合赛区,难期绩效,1199350022,0,2.417,2021/03/23
上合赛区,hzatt,1200585926,0,2.928,2021/03/16
上合赛区,东方朗昌,1201086350,0,0.997,2021/03/22
上合赛区,尽量不划水,1202643462,0,74.756,2021/03/22
上合赛区,虎牙688,1204292712,0,18.377,2021/03/22
上合赛区,托马斯小火车,1204849752,0,0.708,2021/03/19
上合赛区,奇才队,1205796951,0,111.866,2021/03/23
上合赛区,熵和小队,1206671011,0,57.44,2021/03/22
上合赛区,现在学习还来得及,1208555221,15885,109.42,2021/03/24
上合赛区,GIAO,1212364092,0,59.086,2021/03/24
上合赛区,头发比你多战队,1213625288,0,45.989,2021/03/20
上合赛区,抗压猫,1215561551,0,28.482,2021/03/17
上合赛区,贪心就是最牛的队,1216593028,0,8.183,2021/03/23
上合赛区,雪獒铠甲-合体！,1217625189,0,113.959,2021/03/24
上合赛区,hw88487288,1217926777,0,1.507,2021/03/14
上合赛区,东方饭店M,1218337325,0,4.416,2021/03/19
上合赛区,PHP是世界上最好的语言,1220388622,0,47.558,2021/03/23
上合赛区,合工大410,1222418091,0,12.287,2021/03/22
上合赛区,只管贪心不管对不队,1228144214,0,64.78,2021/03/23
上合赛区,hw24279750,1229481945,0,25.743,2021/03/17
上合赛区,大佬快教教我,1241781391,53276,174.316,2021/03/23
上合赛区,济济国王,1242347513,0,126.429,2021/03/20
上合赛区,ustc_F3,1242861308,0,13.236,2021/03/22
上合赛区,Segment Fault,1254094902,1481,18.798,2021/03/24
上合赛区,超越一号,1261257773,0,9.285,2021/03/22
上合赛区,迪杰特斯拉,1264148740,0,14.102,2021/03/19
上合赛区,锟斤拷烫烫烫,1265949439,0,30.764,2021/03/24
上合赛区,运筹小分队,1270224930,0,62.358,2021/03/21
上合赛区,建议退队,1271373361,0,14.162,2021/03/22
上合赛区,瀑布流云,1277219145,0,138.419,2021/03/23
上合赛区,老年复健队,1284393902,21252,91.319,2021/03/23
上合赛区,weak chicken,1296917432,0,0.71,2021/03/19
上合赛区,xdm,1300306983,126666,93.61,2021/03/20
上合赛区,代表月亮消灭你！,1321562344,0,105.976,2021/03/24
上合赛区,江北魂,1326556551,0,89.6,2021/03/22
上合赛区,不会做就不做,1330980229,0,38.526,2021/03/16
上合赛区,吃什么,1363770593,0,8.573,2021/03/24
上合赛区,我在徐家汇等位,1376117967,0,18.338,2021/03/19
上合赛区,Keep calm and write c++,1392592642,0,7.86,2021/03/20
上合赛区,10101010,1392592642,0,7.899,2021/03/21
上合赛区,何处春江无月明,1392592642,0,8.353,2021/03/18
上合赛区,码上起飞,1431291061,5793,32.325,2021/03/22
上合赛区,LLP,1454023938,0,75.916,2021/03/24
上合赛区,林黛玉倒拔垂杨柳,1469773665,7132,7.87,2021/03/24
上合赛区,牛头人,1478382216,0,12.255,2021/03/24
上合赛区,小萌新,1519810010,0,173.304,2021/03/17
上合赛区,Titan,1550834798,0,21.543,2021/03/20
上合赛区,hw47591496,1568814514,0,0.597,2021/03/23
杭厦赛区,HDU穷哥们,1073447676,126694,130.186,2021/03/24
杭厦赛区,抬杠团团,1075495483,122371,43.118,2021/03/24
杭厦赛区,福州大学三缺一,1080036357,124202,27.812,2021/03/24
杭厦赛区,MeshMaker,1084497715,126683,45.506,2021/03/24
杭厦赛区,好想下班,1086541693,126645,57.871,2021/03/24
杭厦赛区,MXS,1087456366,122890,62.922,2021/03/21
杭厦赛区,我想静静,1089029818,86787,37.574,2021/03/24
杭厦赛区,铁锤兄弟,1089510492,87203,124.46,2021/03/24
杭厦赛区,目标华为手环,1091864729,121099,105.671,2021/03/23
杭厦赛区,pinkrabbit_fan_club,1093679083,122696,75.451,2021/03/21
杭厦赛区,夜袭寡妇村,1093685053,100110,164.422,2021/03/22
杭厦赛区,连BUG都对,1093833398,126096,104.958,2021/03/22
杭厦赛区,打铁浪退,1094924809,91621,29.643,2021/03/21
杭厦赛区,麻辣拌饭,1095830506,102079,129.921,2021/03/24
杭厦赛区,hdu汪汪队,1097754403,118370,144.501,2021/03/21
杭厦赛区,爬爬爬,1098184607,115162,110.433,2021/03/24
杭厦赛区,HDU富婆们,1098676457,34192,45.606,2021/03/24
杭厦赛区,一根小布丁,1099466336,90616,100.079,2021/03/24
杭厦赛区,HDU干饭组合,1101141086,112974,97.092,2021/03/24
杭厦赛区,帕秋莉Go,1102098756,71638,156.81,2021/03/24
杭厦赛区,七彩祥云,1102891453,28886,87.27,2021/03/24
杭厦赛区,gyzhty,1103635688,126694,87.393,2021/03/24
杭厦赛区,三只松鼠,1104005034,126694,36.247,2021/03/20
杭厦赛区,浙工大投降队,1104421553,68433,134.273,2021/03/20
杭厦赛区,混元太极形意门,1111142822,44374,142.859,2021/03/20
杭厦赛区,又看了你一眼,1111273192,126694,132.202,2021/03/24
杭厦赛区,江南算坊,1112337089,29278,10.177,2021/03/24
杭厦赛区,鹅恶饿,1112966700,125829,88.441,2021/03/24
杭厦赛区,hdu1024,1113415461,41012,162.394,2021/03/23
杭厦赛区,hw94767075,1115597219,99604,14.616,2021/03/23
杭厦赛区,Jedi Order,1117973942,123735,101.65,2021/03/24
杭厦赛区,Just搜搜day,1120256316,103070,34.409,2021/03/23
杭厦赛区,写的都队,1125747954,85703,99.513,2021/03/24
杭厦赛区,三只老虎爱跳舞,1126061322,34093,47.86,2021/03/24
杭厦赛区,一家三口,1127463132,126694,82.579,2021/03/22
杭厦赛区,jojo的奇妙旅行,1128417650,26012,54.06,2021/03/23
杭厦赛区,不入虎穴,1130701469,126201,119.917,2021/03/23
杭厦赛区,电子秤联萌,1131600155,115604,67.774,2021/03/23
杭厦赛区,Hdu后勤,1134715040,79124,57.44,2021/03/22
杭厦赛区,蔡导梦之,1135765800,49058,8.807,2021/03/24
杭厦赛区,随便玩玩,1136296309,48327,49.359,2021/03/20
杭厦赛区,7k7k,1136956261,51506,121.356,2021/03/24
杭厦赛区,Eureka,1139794960,24227,25.63,2021/03/23
杭厦赛区,HDU奶茶供应商,1144816801,126586,30.198,2021/03/22
杭厦赛区,slayers come,1150693347,0,2.567,2021/03/18
杭厦赛区,辛丑年的小丑,1152772766,55612,69.449,2021/03/24
杭厦赛区,先去吃碗馄饨,1153158898,0,22.15,2021/03/18
杭厦赛区,干啥啥不行,1157104420,123300,15.271,2021/03/24
杭厦赛区,别骂了别骂了,1157166731,0,6.999,2021/03/21
杭厦赛区,hw72629140,1158521123,1336,1.19,2021/03/24
杭厦赛区,老板来袭,1158867449,11330,81.102,2021/03/23
杭厦赛区,HDU-A,1159646470,0,8.224,2021/03/21
杭厦赛区,由于太菜就全练打字了,1162596334,8309,120.745,2021/03/20
杭厦赛区,半人马座,1177428349,0,122.659,2021/03/17
杭厦赛区,水卢水不水,1184297785,42275,8.283,2021/03/23
杭厦赛区,杭电推土机,1184371725,0,81.386,2021/03/23
杭厦赛区,确实确实,1185876935,0,37.101,2021/03/24
杭厦赛区,forleuu,1187506397,0,49.143,2021/03/23
杭厦赛区,Baboon和卷卷keeper,1187807927,10524,129.337,2021/03/24
杭厦赛区,baoruikai,1187928483,0,2.238,2021/03/16
杭厦赛区,德育分不亏,1190273809,0,9.759,2021/03/23
杭厦赛区,都是BUG,1192552396,0,31.87,2021/03/24
杭厦赛区,猫猫人,1194231314,0,108.586,2021/03/23
杭厦赛区,ysx天下第一 ,1194914613,0,11.016,2021/03/12
杭厦赛区,A-Team,1196532270,0,16.831,2021/03/19
杭厦赛区,NoWA,1198566753,0,2.777,2021/03/24
杭厦赛区,~QAQ~,1199111273,31579,55.389,2021/03/22
杭厦赛区,小啧味yyds,1199968281,0,78.703,2021/03/18
杭厦赛区,想吃海底捞,1202192142,0,64.479,2021/03/24
杭厦赛区,小韭菜,1203622257,0,33.562,2021/03/24
杭厦赛区,love&peace,1204173881,0,44.47,2021/03/18
杭厦赛区,口喜口喜,1207751908,0,10.473,2021/03/23
杭厦赛区,歪比巴卜,1209848467,0,10.823,2021/03/20
杭厦赛区,贪心大法好,1212158189,0,55.427,2021/03/19
杭厦赛区,风一直吹,1213525583,11467,83.008,2021/03/18
杭厦赛区,风栖巷,1213528723,0,12.403,2021/03/24
杭厦赛区,玉泉倒得快,1213860461,0,146.162,2021/03/22
杭厦赛区,相信光吗,1214859428,266,9.119,2021/03/23
杭厦赛区,虚胖,1215837069,0,89.325,2021/03/22
杭厦赛区,提交什么都,1216219541,0,1.245,2021/03/22
杭厦赛区,韭零后,1216471396,0,5.549,2021/03/24
杭厦赛区,一定要深入,1216597833,0,21.744,2021/03/18
杭厦赛区,\emoji,1217303804,126694,128.267,2021/03/15
杭厦赛区,小肥星,1217903260,0,0.663,2021/03/21
杭厦赛区,朝比奈实玖瑠,1217926777,0,0.917,2021/03/15
杭厦赛区,mkt_7489_9109,1217926777,0,0.917,2021/03/23
杭厦赛区,浑水摸鱼,1217926777,0,0.927,2021/03/16
